,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_ID,Domicile_Name,Date_of_Interview,Status,LOB,Location,Region_ID,Region_Name
1603,2586011,Yes,27,30,E1,32.28,42.86,10.579999999999998,No,No,Female,Agency,1,L001,201301,24.0,2,D20,Telangana,2013-09-26,Joined,INFRA,Noida,R1,North
1604,2591211,Yes,24,30,E2,50.0,50.0,0.0,No,No,Female,Direct,3,L001,201301,41.0,2,D20,Telangana,2014-07-10,Joined,INFRA,Noida,R1,North
1605,2591566,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,L001,201301,28.0,2,D20,Telangana,2014-07-23,Joined,INFRA,Noida,R1,North
1606,2618781,No,1,30,E2,25.0,25.0,0.0,No,No,Male,Direct,2,L001,201301,25.0,2,D20,Telangana,2013-01-18,Joined,INFRA,Noida,R1,North
1607,2832970,Yes,75,90,E3,13.81,13.81,0.0,No,No,Male,Employee Referral,9,L001,201301,36.0,2,D20,Telangana,2013-04-08,Joined,INFRA,Noida,R1,North
1608,2862136,No,3,30,E1,20.0,20.0,0.0,No,No,Female,Agency,1,L001,201301,27.0,2,D20,Telangana,2013-06-19,Joined,INFRA,Noida,R1,North
1609,3034762,Yes,2,30,E2,57.14,42.86,-14.28,No,No,Female,Agency,3,L001,201301,26.0,2,D20,Telangana,2013-08-21,Joined,INFRA,Noida,R1,North
1610,3225396,No,18,60,E2,47.37,31.58,-15.79,No,No,Male,Direct,4,L001,201301,27.0,2,D20,Telangana,2013-11-06,Joined,INFRA,Noida,R1,North
1611,3225806,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,7,L001,201301,35.0,2,D20,Telangana,2013-11-13,Joined,INFRA,Noida,R1,North
1612,3278263,No,0,60,E2,37.04,11.11,-25.93,No,No,Male,Agency,2,L001,201301,25.0,2,D20,Telangana,2013-12-10,Joined,INFRA,Noida,R1,North
1613,3287608,Yes,18,60,E1,29.11,29.11,0.0,No,No,Female,Employee Referral,4,L001,201301,27.0,2,D20,Telangana,2014-01-10,Joined,INFRA,Noida,R1,North
1614,3356422,Yes,32,30,E1,50.0,32.27,-17.729999999999997,No,No,Female,Agency,1,L001,201301,34.0,2,D20,Telangana,2013-07-02,Joined,INFRA,Noida,R1,North
1615,3385847,No,7,0,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,6,L001,201301,34.0,2,D20,Telangana,2014-06-17,Joined,INFRA,Noida,R1,North
1616,3443070,No,3,0,E2,50.0,39.0,-11.0,No,No,Male,Agency,7,L001,201301,34.0,2,D20,Telangana,2013-02-09,Joined,INFRA,Noida,R1,North
1617,3443913,No,0,30,E2,42.86,42.86,0.0,No,Yes,Male,Employee Referral,3,L001,201301,34.0,2,D20,Telangana,2013-02-12,Joined,INFRA,Noida,R1,North
1618,3463173,No,0,30,E1,17.65,0.0,-17.65,No,No,Male,Direct,3,L001,201301,34.0,2,D20,Telangana,2013-01-27,Joined,INFRA,Noida,R1,North
1619,3506541,Yes,11,0,E1,50.0,2.5,-47.5,No,No,Male,Agency,1,L001,201301,34.0,2,D20,Telangana,2013-04-03,Not Joined,INFRA,Noida,R1,North
1620,3534047,No,3,0,E2,1.75,1.75,0.0,No,No,Male,Direct,7,L001,201301,34.0,2,D20,Telangana,2013-05-10,Joined,INFRA,Noida,R1,North
1621,3592183,Yes,6,0,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,34.0,2,D20,Telangana,2013-03-20,Joined,INFRA,Noida,R1,North
1622,2113885,No,2,0,E2,40.0,50.0,10.0,No,Yes,Male,Direct,5,L001,201301,32.0,2,D2,Bihar,2013-07-21,Joined,INFRA,Noida,R1,North
1623,2144343,No,0,60,E2,41.53,65.12,23.590000000000003,No,No,Male,Direct,4,L001,201301,26.0,2,D2,Bihar,2014-07-08,Joined,INFRA,Noida,R1,North
1624,2147577,Yes,3,75,E3,33.69,33.69,0.0,No,Yes,Male,Employee Referral,8,L001,201301,31.0,2,D2,Bihar,2014-07-23,Joined,INFRA,Noida,R1,North
1625,2162269,No,1,30,E2,30.95,30.95,0.0,No,No,Male,Direct,3,L001,201301,25.0,2,D2,Bihar,2014-07-04,Joined,INFRA,Noida,R1,North
1626,2171315,No,10,30,E2,42.86,57.14,14.28,No,No,Male,Direct,6,L001,201301,32.0,2,D2,Bihar,2013-01-11,Joined,INFRA,Noida,R1,North
1627,2185459,Yes,1,60,E2,38.89,37.04,-1.8500000000000008,No,No,Female,Employee Referral,5,L001,201301,28.0,2,D2,Bihar,2013-02-16,Joined,INFRA,Noida,R1,North
1628,2208864,Yes,3,0,E3,9.34,13.55,4.210000000000001,No,Yes,Male,Employee Referral,7,L001,201301,36.0,2,D2,Bihar,2013-03-09,Joined,INFRA,Noida,R1,North
1629,2210229,Yes,0,45,E2,33.69,33.69,0.0,No,Yes,Male,Employee Referral,3,L001,201301,28.0,2,D2,Bihar,2013-03-15,Joined,INFRA,Noida,R1,North
1630,2215744,Yes,11,30,E2,9.17,9.17,0.0,No,No,Male,Direct,5,L001,201301,27.0,2,D2,Bihar,2013-04-07,Joined,INFRA,Noida,R1,North
1631,2218193,No,16,30,E2,38.3,38.3,0.0,No,Yes,Male,Employee Referral,3,L001,201301,25.0,2,D2,Bihar,2013-04-22,Joined,INFRA,Noida,R1,North
1632,2220465,Yes,9,30,E1,15.74,16.67,0.9300000000000016,No,No,Male,Agency,1,L001,201301,24.0,2,D2,Bihar,2013-05-03,Joined,INFRA,Noida,R1,North
1633,2224118,Yes,60,60,E2,66.67,83.33,16.659999999999997,No,Yes,Male,Employee Referral,4,L001,201301,27.0,2,D2,Bihar,2013-05-19,Joined,INFRA,Noida,R1,North
1634,2283219,Yes,40,60,E3,35.59,35.59,0.0,No,Yes,Male,Direct,6,L001,201301,32.0,2,D2,Bihar,2013-05-28,Joined,INFRA,Noida,R1,North
1635,2347714,No,53,60,E3,35.0,30.0,-5.0,No,No,Female,Employee Referral,7,L001,201301,31.0,2,D2,Bihar,2013-07-13,Joined,INFRA,Noida,R1,North
1636,2347830,No,4,30,E2,30.77,22.47,-8.3,No,No,Male,Direct,6,L001,201301,32.0,2,D2,Bihar,2013-07-15,Not Joined,INFRA,Noida,R1,North
1637,2352241,No,0,0,E1,11.11,16.67,5.560000000000002,No,No,Female,Direct,1,L001,201301,23.0,2,D2,Bihar,2013-08-14,Joined,INFRA,Noida,R1,North
1638,2354306,Yes,0,30,E1,50.0,50.0,0.0,No,No,Male,Agency,2,L001,201301,26.0,2,D2,Bihar,2013-08-16,Not Joined,INFRA,Noida,R1,North
1639,2360750,No,1,30,E1,7.83,7.83,0.0,No,No,Male,Direct,3,L001,201301,27.0,2,D2,Bihar,2013-09-24,Joined,INFRA,Noida,R1,North
1640,2364639,Yes,5,60,E2,27.5,12.5,-15.0,No,No,Male,Direct,6,L001,201301,29.0,2,D2,Bihar,2013-10-30,Joined,INFRA,Noida,R1,North
1641,2364659,No,2,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,24.0,2,D2,Bihar,2013-11-04,Joined,INFRA,Noida,R1,North
1642,2364667,No,3,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,23.0,2,D2,Bihar,2013-11-07,Joined,INFRA,Noida,R1,North
1643,2364692,No,2,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,24.0,2,D2,Bihar,2013-11-08,Joined,INFRA,Noida,R1,North
1644,2369066,No,0,30,E3,4.17,4.17,0.0,No,No,Male,Direct,11,L001,201301,35.0,2,D2,Bihar,2013-12-14,Joined,INFRA,Noida,R1,North
1645,2372645,No,2,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,25.0,2,D2,Bihar,2013-09-25,Joined,INFRA,Noida,R1,North
1646,2375487,No,9,60,E2,55.56,55.56,0.0,No,No,Male,Direct,5,L001,201301,29.0,2,D2,Bihar,2013-10-01,Joined,INFRA,Noida,R1,North
1647,2460536,Yes,4,30,E1,60.71,60.71,0.0,No,No,Male,Direct,4,L001,201301,25.0,2,D2,Bihar,2014-01-30,Joined,INFRA,Noida,R1,North
1648,2483361,Yes,0,60,E3,33.36,39.42,6.060000000000002,No,No,Male,Agency,8,L001,201301,32.0,2,D2,Bihar,2014-01-30,Joined,INFRA,Noida,R1,North
1649,2563125,No,3,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,L001,201301,36.0,2,D2,Bihar,2013-09-09,Joined,INFRA,Noida,R1,North
1650,2565608,No,7,30,E1,138.1,42.86,-95.24,No,No,Female,Direct,1,L001,201301,25.0,2,D2,Bihar,2013-11-11,Joined,INFRA,Noida,R1,North
1651,2579234,Yes,94,90,E3,19.11,19.11,0.0,No,No,Male,Agency,6,L001,201301,31.0,2,D2,Bihar,2013-07-25,Not Joined,INFRA,Noida,R1,North
1652,2598352,Yes,58,30,E1,66.67,100.0,33.33,No,No,Male,Direct,2,L001,201301,25.0,2,D2,Bihar,2014-06-28,Joined,INFRA,Noida,R1,North
1653,2598657,No,3,45,E1,3.9,42.86,38.96,No,Yes,Male,Direct,2,L001,201301,27.0,2,D2,Bihar,2014-07-10,Joined,INFRA,Noida,R1,North
1654,2608912,Yes,59,60,E2,33.33,40.0,6.670000000000002,No,No,Male,Direct,5,L001,201301,39.0,2,D2,Bihar,2013-01-22,Joined,INFRA,Noida,R1,North
1655,2612108,Yes,41,30,E2,39.53,39.53,0.0,No,No,Male,Employee Referral,14,L001,201301,33.0,2,D2,Bihar,2013-02-14,Joined,INFRA,Noida,R1,North
1656,3034408,No,0,30,E3,11.11,7.41,-3.6999999999999993,No,No,Male,Direct,8,L001,201301,35.0,2,D2,Bihar,2013-08-18,Joined,INFRA,Noida,R1,North
1657,3040268,Yes,50,90,E3,31.36,23.15,-8.21,No,No,Female,Employee Referral,10,L001,201301,39.0,2,D2,Bihar,2013-09-05,Not Joined,INFRA,Noida,R1,North
1658,3040773,No,0,60,E2,50.0,12.5,-37.5,No,Yes,Male,Direct,2,L001,201301,28.0,2,D2,Bihar,2013-06-26,Joined,INFRA,Noida,R1,North
1659,3046557,No,0,30,E2,40.85,31.43,-9.420000000000002,No,No,Male,Direct,6,L001,201301,33.0,2,D2,Bihar,2013-07-25,Joined,INFRA,Noida,R1,North
1660,3225603,No,3,30,E1,15.74,0.0,-15.74,No,Yes,Male,Employee Referral,1,L001,201301,24.0,2,D2,Bihar,2013-11-08,Joined,INFRA,Noida,R1,North
1661,3246038,No,0,0,E2,31.94,10.57,-21.37,No,No,Male,Agency,6,L001,201301,34.0,2,D2,Bihar,2013-10-06,Joined,INFRA,Noida,R1,North
1662,3251028,Yes,67,60,E3,26.58,30.8,4.220000000000002,No,No,Male,Direct,8,L001,201301,36.0,2,D2,Bihar,2013-12-03,Joined,INFRA,Noida,R1,North
1663,3283991,No,2,30,E1,50.0,25.0,-25.0,No,No,Male,Employee Referral,1,L001,201301,24.0,2,D2,Bihar,2013-12-24,Joined,INFRA,Noida,R1,North
1664,3300487,Yes,27,60,E3,32.0,27.37,-4.629999999999999,No,No,Female,Direct,8,L001,201301,32.0,2,D2,Bihar,2014-02-13,Joined,INFRA,Noida,R1,North
1665,3381978,Yes,7,45,E1,50.0,8.0,-42.0,No,No,Female,Employee Referral,1,L001,201301,34.0,2,D2,Bihar,2013-04-14,Joined,INFRA,Noida,R1,North
1666,3400190,Yes,24,30,E2,80.0,100.0,20.0,No,No,Male,Direct,3,L001,201301,34.0,2,D2,Bihar,2014-07-25,Joined,INFRA,Noida,R1,North
1667,3423843,Yes,30,60,E2,42.86,42.86,0.0,No,No,Male,Agency,4,L001,201301,34.0,2,D2,Bihar,2014-07-30,Joined,INFRA,Noida,R1,North
1668,3438857,Yes,18,45,E2,42.86,42.86,0.0,No,No,Male,Agency,7,L001,201301,34.0,2,D2,Bihar,2013-02-02,Joined,INFRA,Noida,R1,North
1669,3458305,No,1,45,E1,40.0,25.0,-15.0,No,No,Male,Agency,1,L001,201301,34.0,2,D2,Bihar,2013-01-12,Joined,INFRA,Noida,R1,North
1670,3497084,No,5,0,E1,46.67,44.0,-2.6700000000000017,No,No,Male,Employee Referral,1,L001,201301,34.0,2,D2,Bihar,2013-03-26,Joined,INFRA,Noida,R1,North
1671,3497412,No,0,30,E1,42.86,60.71,17.85,No,No,Male,Direct,2,L001,201301,34.0,2,D2,Bihar,2013-03-27,Joined,INFRA,Noida,R1,North
1672,3714121,No,3,30,E1,53.98,41.14,-12.839999999999996,No,No,Male,Employee Referral,2,L001,201301,34.0,2,D2,Bihar,2013-07-19,Joined,INFRA,Noida,R1,North
1673,3835433,No,0,30,E1,76.92,53.85,-23.07,No,No,Male,Direct,4,L001,201301,34.0,2,D2,Bihar,2013-08-20,Joined,INFRA,Noida,R1,North
1674,3300715,Yes,20,60,E2,42.85,42.85,0.0,No,No,Male,Agency,4,L001,201301,27.0,2,D12,Kerala,2013-11-06,Joined,INFRA,Noida,R1,North
1675,3347772,Yes,3,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,L001,201301,27.0,2,D12,Kerala,2013-11-29,Joined,INFRA,Noida,R1,North
1676,2161845,No,0,0,E2,47.53,47.53,0.0,No,Yes,Male,Direct,2,L001,201301,31.0,2,D12,Kerala,2014-07-04,Joined,INFRA,Noida,R1,North
1677,2192769,Yes,105,90,E2,42.86,57.14,14.28,No,No,Female,Direct,4,L001,201301,30.0,2,D12,Kerala,2013-01-07,Joined,INFRA,Noida,R1,North
1678,2206089,Yes,1,45,E2,75.0,62.5,-12.5,No,Yes,Male,Direct,5,L001,201301,28.0,2,D12,Kerala,2013-02-18,Joined,INFRA,Noida,R1,North
1679,2217543,No,1,0,E1,50.0,50.0,0.0,No,Yes,Male,Direct,1,L001,201301,27.0,2,D12,Kerala,2013-04-18,Joined,INFRA,Noida,R1,North
1680,2226694,No,2,30,E1,70.87,33.73,-37.14000000000001,No,No,Male,Employee Referral,3,L001,201301,28.0,2,D12,Kerala,2013-06-01,Joined,INFRA,Noida,R1,North
1681,2227169,Yes,38,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,4,L001,201301,28.0,2,D12,Kerala,2013-06-03,Joined,INFRA,Noida,R1,North
1682,2281646,Yes,1,90,E3,0.1,0.1,0.0,No,Yes,Male,Direct,5,L001,201301,28.0,2,D12,Kerala,2013-04-27,Joined,INFRA,Noida,R1,North
1683,2282056,No,0,30,E1,28.3,28.3,0.0,No,Yes,Female,Direct,1,L001,201301,24.0,2,D12,Kerala,2013-05-09,Joined,INFRA,Noida,R1,North
1684,2282641,Yes,36,60,E3,42.86,42.86,0.0,No,No,Male,Direct,8,L001,201301,37.0,2,D12,Kerala,2013-05-23,Joined,INFRA,Noida,R1,North
1685,2286163,Yes,63,60,E2,25.19,25.19,0.0,No,No,Male,Direct,7,L001,201301,32.0,2,D12,Kerala,2013-07-07,Joined,INFRA,Noida,R1,North
1686,2301704,No,9,30,E1,33.77,33.77,0.0,No,No,Male,Direct,2,L001,201301,26.0,2,D12,Kerala,2013-08-01,Joined,INFRA,Noida,R1,North
1687,2341276,Yes,27,30,E2,36.36,127.27,90.91,No,No,Male,Agency,5,L001,201301,26.0,2,D12,Kerala,2013-06-25,Not Joined,INFRA,Noida,R1,North
1688,2344696,Yes,15,30,E2,15.38,15.38,0.0,No,No,Male,Direct,5,L001,201301,30.0,2,D12,Kerala,2013-07-05,Joined,INFRA,Noida,R1,North
1689,2357436,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,23.0,2,D12,Kerala,2013-09-15,Joined,INFRA,Noida,R1,North
1690,2357443,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,24.0,2,D12,Kerala,2013-09-20,Not Joined,INFRA,Noida,R1,North
1691,2364207,No,4,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,24.0,2,D12,Kerala,2013-10-14,Joined,INFRA,Noida,R1,North
1692,2364645,No,3,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,24.0,2,D12,Kerala,2013-10-31,Joined,INFRA,Noida,R1,North
1693,2364665,No,2,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,23.0,2,D12,Kerala,2013-11-07,Joined,INFRA,Noida,R1,North
1694,2364703,No,2,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,22.0,2,D12,Kerala,2013-11-11,Joined,INFRA,Noida,R1,North
1695,2405705,No,3,30,E3,39.24,39.24,0.0,No,No,Male,Employee Referral,8,L001,201301,38.0,2,D12,Kerala,2013-12-13,Joined,INFRA,Noida,R1,North
1696,2460224,No,0,60,E2,42.86,42.86,0.0,No,No,Male,Agency,5,L001,201301,28.0,2,D12,Kerala,2014-01-27,Joined,INFRA,Noida,R1,North
1697,2556350,Yes,8,30,E3,23.3,23.3,0.0,No,No,Male,Employee Referral,4,L001,201301,25.0,2,D12,Kerala,2013-04-29,Joined,INFRA,Noida,R1,North
1698,2560815,Yes,16,30,E2,33.33,33.33,0.0,No,No,Female,Employee Referral,2,L001,201301,25.0,2,D12,Kerala,2013-07-03,Joined,INFRA,Noida,R1,North
1699,2561321,No,3,90,E3,40.0,40.0,0.0,No,No,Male,Direct,6,L001,201301,48.0,2,D12,Kerala,2013-08-17,Joined,INFRA,Noida,R1,North
1700,2578836,Yes,1,30,E2,66.67,94.44,27.77,No,No,Male,Employee Referral,1,L001,201301,24.0,2,D12,Kerala,2013-04-08,Joined,INFRA,Noida,R1,North
1701,2590707,Yes,34,30,E3,60.0,53.33,-6.670000000000002,No,No,Male,Direct,7,L001,201301,33.0,2,D12,Kerala,2014-06-28,Joined,INFRA,Noida,R1,North
1702,2594401,Yes,31,30,E1,66.67,120.0,53.33,No,No,Male,Direct,4,L001,201301,26.0,2,D12,Kerala,2014-05-08,Joined,INFRA,Noida,R1,North
1703,2594559,Yes,10,30,E1,20.0,20.0,0.0,No,No,Male,Direct,2,L001,201301,29.0,2,D12,Kerala,2014-05-12,Joined,INFRA,Noida,R1,North
1704,2614745,No,3,30,E2,22.49,22.49,0.0,No,No,Male,Direct,5,L001,201301,28.0,2,D12,Kerala,2013-01-07,Joined,INFRA,Noida,R1,North
1705,2780694,Yes,4,30,E1,36.05,42.86,6.810000000000002,No,No,Male,Employee Referral,0,L001,201301,24.0,2,D12,Kerala,2013-02-24,Joined,INFRA,Noida,R1,North
1706,2780895,Yes,29,30,E2,25.0,0.0,-25.0,No,No,Male,Direct,2,L001,201301,25.0,2,D12,Kerala,2013-03-06,Joined,INFRA,Noida,R1,North
1707,2815557,Yes,4,60,E2,48.81,57.74,8.93,No,No,Male,Employee Referral,6,L001,201301,30.0,2,D12,Kerala,2013-05-17,Joined,INFRA,Noida,R1,North
1708,2819835,No,11,30,E2,23.46,23.46,0.0,No,No,Male,Employee Referral,2,L001,201301,25.0,2,D12,Kerala,2013-05-22,Joined,INFRA,Noida,R1,North
1709,2855857,Yes,10,30,E2,35.14,35.14,0.0,No,No,Male,Employee Referral,6,L001,201301,33.0,2,D12,Kerala,2013-05-22,Not Joined,INFRA,Noida,R1,North
1710,2865859,Yes,21,60,E3,42.86,42.86,0.0,No,No,Male,Direct,7,L001,201301,29.0,2,D12,Kerala,2013-06-23,Joined,INFRA,Noida,R1,North
1711,2865860,No,0,60,E3,42.86,42.86,0.0,No,No,Male,Agency,9,L001,201301,29.0,2,D12,Kerala,2013-06-24,Joined,INFRA,Noida,R1,North
1712,3040352,No,0,30,E1,92.31,84.62,-7.689999999999998,No,No,Female,Direct,1,L001,201301,20.0,2,D12,Kerala,2013-09-07,Joined,INFRA,Noida,R1,North
1713,3195468,No,1,30,E2,23.81,23.81,0.0,No,No,Male,Employee Referral,5,L001,201301,26.0,2,D12,Kerala,2013-08-26,Joined,INFRA,Noida,R1,North
1714,3204640,No,19,30,E2,37.5,109.5,72.0,No,Yes,Male,Direct,4,L001,201301,32.0,2,D12,Kerala,2013-09-17,Joined,INFRA,Noida,R1,North
1715,3267682,Yes,102,90,E3,22.22,5.56,-16.66,No,No,Male,Agency,12,L001,201301,37.0,2,D12,Kerala,2013-11-08,Joined,INFRA,Noida,R1,North
1716,3274157,No,1,30,E2,66.67,83.33,16.659999999999997,No,No,Male,Employee Referral,6,L001,201301,28.0,2,D12,Kerala,2013-11-27,Joined,INFRA,Noida,R1,North
1717,3280367,No,2,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,2,L001,201301,24.0,2,D12,Kerala,2013-12-19,Joined,INFRA,Noida,R1,North
1718,3318667,Yes,16,30,E1,50.0,70.0,20.0,No,No,Male,Employee Referral,0,L001,201301,25.0,2,D12,Kerala,2014-01-10,Joined,INFRA,Noida,R1,North
1719,3334593,No,0,60,E2,113.96,113.96,0.0,No,No,Male,Direct,4,L001,201301,34.0,2,D12,Kerala,2014-02-22,Joined,INFRA,Noida,R1,North
1720,3339255,Yes,17,30,E2,13.89,13.89,0.0,No,Yes,Female,Direct,6,L001,201301,34.0,2,D12,Kerala,2014-03-01,Joined,INFRA,Noida,R1,North
1721,3399964,Yes,19,30,E1,25.0,25.0,0.0,No,No,Male,Direct,3,L001,201301,34.0,2,D12,Kerala,2014-07-23,Joined,INFRA,Noida,R1,North
1722,3476605,No,0,0,E1,42.86,42.86,0.0,No,No,Female,Agency,1,L001,201301,34.0,2,D12,Kerala,2013-02-24,Joined,INFRA,Noida,R1,North
1723,3488857,Yes,26,30,E2,62.5,37.5,-25.0,No,Yes,Male,Direct,3,L001,201301,34.0,2,D12,Kerala,2013-03-22,Joined,INFRA,Noida,R1,North
1724,3524328,Yes,11,45,E2,44.16,32.15,-12.009999999999998,No,No,Male,Employee Referral,3,L001,201301,34.0,2,D12,Kerala,2013-04-25,Joined,INFRA,Noida,R1,North
1725,3639026,No,12,0,E2,61.29,54.84,-6.449999999999996,No,Yes,Female,Employee Referral,4,L001,201301,34.0,2,D12,Kerala,2013-05-25,Joined,INFRA,Noida,R1,North
1726,3686582,No,2,0,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,3,L001,201301,34.0,2,D12,Kerala,2013-07-05,Joined,INFRA,Noida,R1,North
1727,2352045,No,0,30,E1,10.89,9.14,-1.75,No,No,Male,Direct,1,L001,201301,25.0,2,D8,Haryana,2014-06-03,Joined,INFRA,Noida,R1,North
1728,2480992,No,2,30,E2,30.0,44.0,14.0,No,No,Male,Direct,7,L001,201301,31.0,2,D8,Haryana,2013-03-15,Joined,INFRA,Noida,R1,North
1729,2635526,Yes,7,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,4,L001,201301,27.0,2,D8,Haryana,2013-05-01,Joined,INFRA,Noida,R1,North
1730,3030928,Yes,15,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,5,L001,201301,30.0,2,D8,Haryana,2013-07-11,Joined,INFRA,Noida,R1,North
1731,3342678,Yes,3,30,E3,57.14,28.57,-28.57,No,No,Female,Employee Referral,7,L001,201301,29.0,2,D8,Haryana,2013-11-27,Joined,INFRA,Noida,R1,North
1732,2116859,Yes,70,60,E2,34.96,30.25,-4.710000000000001,No,No,Male,Direct,4,L001,201301,29.0,2,D8,Haryana,2013-10-02,Joined,INFRA,Noida,R1,North
1733,2152130,Yes,6,0,E2,48.39,48.39,0.0,No,Yes,Male,Employee Referral,3,L001,201301,29.0,2,D8,Haryana,2014-04-20,Joined,INFRA,Noida,R1,North
1734,2177575,No,1,0,E1,46.67,44.0,-2.6700000000000017,No,No,Male,Agency,1,L001,201301,25.0,2,D8,Haryana,2013-01-21,Joined,INFRA,Noida,R1,North
1735,2178776,No,0,0,E1,50.0,20.0,-30.0,No,No,Male,Direct,1,L001,201301,28.0,2,D8,Haryana,2013-01-22,Joined,INFRA,Noida,R1,North
1736,2187355,No,3,30,E2,7.83,7.83,0.0,No,No,Female,Direct,3,L001,201301,30.0,2,D8,Haryana,2013-02-24,Joined,INFRA,Noida,R1,North
1737,2194577,No,22,30,E2,42.5,42.5,0.0,No,Yes,Male,Direct,2,L001,201301,27.0,2,D8,Haryana,2013-01-14,Joined,INFRA,Noida,R1,North
1738,2201057,No,0,0,E2,79.47,79.47,0.0,No,Yes,Male,Direct,8,L001,201301,33.0,2,D8,Haryana,2013-02-09,Joined,INFRA,Noida,R1,North
1739,2202103,Yes,1,45,E2,68.54,68.54,0.0,No,Yes,Male,Employee Referral,5,L001,201301,33.0,2,D8,Haryana,2013-02-11,Joined,INFRA,Noida,R1,North
1740,2207475,No,1,60,E1,50.0,50.0,0.0,No,No,Female,Employee Referral,1,L001,201301,24.0,2,D8,Haryana,2013-02-26,Joined,INFRA,Noida,R1,North
1741,2211544,Yes,4,30,E2,29.31,29.31,0.0,No,Yes,Male,Direct,4,L001,201301,31.0,2,D8,Haryana,2013-03-19,Joined,INFRA,Noida,R1,North
1742,2214038,No,44,60,E2,42.86,42.86,0.0,No,Yes,Male,Direct,3,L001,201301,31.0,2,D8,Haryana,2013-03-30,Joined,INFRA,Noida,R1,North
1743,2214384,No,0,0,E1,19.34,19.34,0.0,No,Yes,Male,Direct,1,L001,201301,25.0,2,D8,Haryana,2013-03-31,Joined,INFRA,Noida,R1,North
1744,2246749,No,33,45,E2,44.44,111.11,66.67,No,Yes,Male,Direct,6,L001,201301,29.0,2,D8,Haryana,2013-04-03,Joined,INFRA,Noida,R1,North
1745,2284984,No,6,30,E2,20.0,2.88,-17.12,No,Yes,Male,Direct,8,L001,201301,35.0,2,D8,Haryana,2013-06-25,Joined,INFRA,Noida,R1,North
1746,2286627,Yes,4,0,E1,20.0,34.72,14.72,No,Yes,Male,Direct,1,L001,201301,27.0,2,D8,Haryana,2013-07-10,Joined,INFRA,Noida,R1,North
1747,2298374,No,5,30,E2,50.0,50.0,0.0,No,No,Male,Direct,4,L001,201301,32.0,2,D8,Haryana,2013-07-27,Joined,INFRA,Noida,R1,North
1748,2309739,No,0,30,E2,44.74,44.74,0.0,No,No,Male,Direct,8,L001,201301,28.0,2,D8,Haryana,2013-08-09,Joined,INFRA,Noida,R1,North
1749,2351976,No,6,30,E2,30.95,30.95,0.0,No,No,Male,Direct,4,L001,201301,28.0,2,D8,Haryana,2013-08-07,Joined,INFRA,Noida,R1,North
1750,2357383,No,7,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,22.0,2,D8,Haryana,2013-09-11,Not Joined,INFRA,Noida,R1,North
1751,2357423,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,22.0,2,D8,Haryana,2013-09-14,Joined,INFRA,Noida,R1,North
1752,2357442,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,22.0,2,D8,Haryana,2013-09-19,Not Joined,INFRA,Noida,R1,North
1753,2364189,No,4,30,E1,42.86,42.86,0.0,No,No,Male,Direct,0,L001,201301,24.0,2,D8,Haryana,2013-10-06,Not Joined,INFRA,Noida,R1,North
1754,2364641,No,3,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,23.0,2,D8,Haryana,2013-10-30,Joined,INFRA,Noida,R1,North
1755,2364647,No,3,30,E1,42.86,42.86,0.0,No,No,Female,Direct,0,L001,201301,23.0,2,D8,Haryana,2013-11-01,Not Joined,INFRA,Noida,R1,North
1756,2364786,Yes,33,30,E1,25.0,21.43,-3.5700000000000003,No,No,Male,Direct,4,L001,201301,27.0,2,D8,Haryana,2013-11-19,Joined,INFRA,Noida,R1,North
